Date,Price,Open,High,Low,Vol.,Change %
"Jun 21, 2004",274.5,272.75,275.5,269.5,24.50K,0.00%
"Jun 18, 2004",274.5,277,280,273.75,20.02K,-1.17%
"Jun 17, 2004",277.75,281.5,283.5,275.25,28.33K,-1.33%
"Jun 16, 2004",281.5,280.75,283.75,280,24.72K,0.45%
"Jun 15, 2004",280.25,286.25,287.25,280,27.82K,-2.78%
"Jun 14, 2004",288.25,288.25,290,284.25,30.86K,0.87%
"Jun 11, 2004",285.75,285.75,285.75,285.75,-,0.00%
"Jun 10, 2004",285.75,298.75,298.75,284.5,58.54K,-3.95%
"Jun 09, 2004",297.5,297.75,299,295.5,36.49K,0.17%
"Jun 08, 2004",297,299.75,301.25,296.5,36.97K,-1.08%
"Jun 07, 2004",300.25,304,304,295,39.25K,-2.60%
"Jun 04, 2004",308.25,310,313,307.25,37.51K,-0.80%
"Jun 03, 2004",310.75,320,320.5,310,40.96K,-3.42%
"Jun 02, 2004",321.75,325.5,327.5,320,45.24K,-0.69%
"Jun 01, 2004",324,307.5,324,307.5,29.18K,6.58%
"May 28, 2004",304,298.75,306,296,32.33K,1.76%
"May 27, 2004",298.75,299.75,304.25,297,24.58K,-0.67%
"May 26, 2004",300.75,304,305,300,15.70K,-0.99%
"May 25, 2004",303.75,296,305,296,26.63K,2.62%
"May 24, 2004",296,290.25,296.75,290.25,30.25K,2.07%
"May 21, 2004",290,292.25,293.75,287.5,22.67K,-0.77%
"May 20, 2004",292.25,298.5,300,289,31.47K,-2.09%
"May 19, 2004",298.5,292.5,298.75,292,21.34K,2.23%
"May 18, 2004",292,295.5,298,289.75,21.52K,-1.10%
"May 17, 2004",295.25,291.25,295.5,288.25,31.22K,3.05%
"May 14, 2004",286.5,292.5,292.5,283.5,0.77K,-1.12%
"May 13, 2004",289.75,294.25,294.25,287.75,1.68K,-1.61%
"May 12, 2004",294.5,296.5,299.25,289.5,1.68K,-0.51%
"May 11, 2004",296,296.5,297.5,294.5,2.24K,0.17%
